,1,2,3,4,5,6,7,8
26,Rpl17,Tctex1d1,Rps4x,Ppa1,Tomm7,Arhgap28,Tipin,Ccnb2
27,Rps2,Camk4,Trdc,Gpatch4,Eif3j1,Ptpru,Ranbp1,Hmgn2
28,Itm2a,Gm44175,Trim30a,Set,Rpl31,Kcnk10,Prim1,Hist1h2ae
29,Rpl13,H3f3b,H2-D1,Nop56,Pdap1,Gm10190,Tcf19,Ccna2
30,Hnrnpa1,Rps3a1,Usp18,Hsp90aa1,Wdr43,1700036A12Rik,Esco2,Lockd
31,Rplp2,Gm37065,Rpl19,Shmt1,Rpl36,Gm13431,Anp32b,Kif11
32,Snrpg,Xrcc6,Isg20,Timm9,Dek,Adora2b,Hmgb2,H2afv
33,Tomm6,Cux1,Rplp0,Nsun2,Snrpf,Cadm3,Nasp,Arl6ip1
34,Slc25a5,Cd4,Rps10,Nolc1,Rps8,Chad,Srsf3,Tubb5
35,Polr2l,Ppp1r14b,Rpl9,Dkc1,Eif5b,Klf15,Rrm1,Cks1b
36,Gnb2l1,Dnajc15,Gzma,Fabp5,Lig1,Spin2d,Hist1h1a,Casc5
37,Nab2,Trbc2,Vim,Lyar,Nusap1,Zp1,Smc2,Hist1h1b
38,Lsm7,Rapgef3,Rpl10a,Atad3a,Rplp2,Ehf,Wdr76,Nucks1
39,Rbm3,Arl6ip1,Rps7,Dctpp1,St13,Dkk3,Hells,Spc24
40,Tubb5,Desi1,Rps18,Cct3,Metap2,Nppc,Dnmt1,Kif20b
41,Gm2000,Cd3d,Gm4955,Mrpl12,Ccr9,Fam149a,Fen1,Kpna2
42,Clic1,Hist3h2ba,Tmsb4x,Rrp15,mt-Nd1,Clnk,Rfc4,Mis18bp1
43,Rps3,Fth1,AW112010,Ybx1,Larp7,Id2,Hsp90aa1,Spc25
44,Rpl5,Rag2,Rpl3,Nop58,Uqcr11,Ogn,Alyref,Fam64a
45,Cd3e,Agfg2,Rpl32,Erh,Nap1l1,Fam20c,Dhfr,Smc2
46,Ldha,Tdrd5,Rps3a1,Noc2l,Romo1,Klrb1b,Syce2,Tacc3
47,Id3,Myb,Stat1,G3bp1,Taf1d,Elovl2,Orc6,Aurka
48,Rps12,Cd27,Mndal,Rrs1,Knop1,Fcrls,Uhrf1,Aspm
49,Cotl1,Dgcr6,Rsad2,Pebp1,Arpp19,Cd14,Rad51,Hist1h4d
50,Hmgn2,Pnn,Xaf1,Rcl1,Bola2,5430421N21Rik,Dnajc9,Ptma
51,Rps26,Tubb2b,Rpl8,Ndufaf4,Rpl23a,Sspo,Tk1,Plk1
52,Glo1,Rpl11,Slfn1,Grwd1,Set,Mrc2,Cdc45,Hmgb1
53,Hspa8,Anxa2,Nkg7,Fam162a,Pdcd11,Rem1,Mcm7,Dlgap5
54,Atp5b,Klf3,Cytip,Mybbp1a,Snrpb2,Serpinb8,Siva1,Mxd3
55,Rpl7a,RP23-428N8.3,Itgb7,Ppan,Snrpd3,Plppr4,Nrm,Cdkn3
56,0610010K14Rik,Naca,Ltb,Tomm40,Trbv12-1,Pdzrn3,E2f1,Kif22
57,Rpl3,Rps10,Parp9,Aprt,Ddx18,Klrg1,Mcm2,Incenp
58,Cd28,Dynll1,Irf9,Cacybp,Rdx,Aif1l,Tmpo,2810417H13Rik
59,Mdh2,Cdkn2d,Rps14,Ebna1bp2,Hist1h4h,Chst7,Dscc1,Hn1
60,Jund,Ifngr1,Rnf43,Gart,Nop58,Slc5a5,Spc24,Sgol1
61,Tuba4a,Jund,9930111J21Rik2,Cycs,Rpl35,Tmem246,Rfc3,Hist1h3c
62,Phb,Wdr12,Ifi47,Gtpbp4,Crip1,Mkrn2os,Chaf1a,Aurkb
63,Ubald2,Hibadh,Eef1a1,Ung,Cbx1,Klrc2,Ppia,Depdc1a
64,Anp32a,Ccr9,Rpl11,Hspa8,Rbm8a,Gm14964,Ccne2,Calm2
65,Gm8186,Slc7a11,Anxa6,Cct8,Gnl3,Adm,H2afv,Kif4
66,Psmb3,Gm15340,B2m,Prmt1,Nmt2,Fmn1,Hmgb1,Ckap2l
67,Rpl32,Atp5h,Irgm1,Rpsa,AI662270,Gm10399,Usp1,Racgap1
68,Rps3a1,Rorc,Ifit3,Ftsj3,Wdr61,Kcng2,Nelfe,Sgol2a
69,Vim,Rpl8,Rps20,Lap3,Nifk,Klrb1c,2700029M09Rik,Tmpo
70,Sh2d1a,H2afv,Smad7,Trmt61a,Hnrnpa2b1,Myo15,Rfc2,Hist1h2ab
71,Rpl22l1,Capn3,Ccnd2,Ifrd2,1110004F10Rik,Dagla,Brca1,Ncapg
72,Rpl21,Lig4,Ifi27,Ppia,2810004N23Rik,Rnf128,Whsc1,Cit
73,H3f3b,Cd3g,Igfbp4,Hivep3,Calm2,Cfb,Ezh2,Kif2c
74,Cd3d,Lztfl1,Slfn8,Tomm5,Atp5j2,Gadl1,Ncapd3,Kif23
75,Sumo2,Nfatc3,Gm2a,Fkbp4,Sod1,S100a11,Mcm4,Kif18b
76,Rpl26,Mns1,Dtx1,Mrps18b,Rag1,Cdx1,Hmgn2,Knstrn
77,Rpl4,Cdca7,Rps16,Eef1g,Ccne2,Arhgap8,Smc3,Cep55
78,Alyref,A930003A15Rik,Slfn5,Timm10,Hist1h4d,Cxcr3,Fignl1,Ndc80
79,Tmsb4x,Txn1,Gng2,Pgam1,Cdca7,Stk32c,Dctpp1,Kif14
80,Rps10,Rpl9,Gimap3,Mat2a,Ndufc1,Baat,Rad51ap1,Bub1b
81,Cycs,Gpr162,Sp100,Gcsh,Wdr89,Phactr1,Apitd1,Ubb
82,Rps18,Dhrs3,Eef1b2,Mthfd1,Rbbp4,4930579C12Rik,Smc6,Anp32e
83,Eif5a,Rnf157,Ctss,Phb,Uqcr10,P3h2,Atad5,Bub3
84,Rpl10a,Rpl18,Parp14,Sdad1,B2m,Klra9,Rfc1,Ccnf
85,Cdk2ap1,P2rx1,Oas3,Eif3b,Rpl22,Klrk1,Lsm2,Gas2l3
86,Rpl22,B230118H07Rik,Rpl23,Ddx21,Tcof1,Cldn7,Ncapg2,Cdca2
87,Rpl28,Morc1,Samd9l,Ccdc86,Gm10076,Met,Ran,Ckap2
88,Hdac1,Fyb,Phf11c,Wdr43,Nars,Gm38112,Ccne1,2700094K13Rik
89,Rpl11,Dgke,Ikzf2,Eif2s1,Hspd1,Plxna4,Mybl2,Nek2
90,Raly,Lat,Rpl27a,Shmt2,U2af2,Dlx4os,Ybx1,Esco2
91,Rnf187,Prdx2,Prr13,Nop16,Sgol1,Fer1l6,Plk5,Rad21
92,Rps19,Ctcf,Iigp1,Zfp593,Mki67,Irs1,Cdc6,Cdc25b
93,Hn1,Rpl18a,Igtp,Aen,Lmo4,F3,Top2a,Ckap5
94,Cdk4,Sfpq,Klk8,Rexo2,Uqcrq,Gm5580,Pola1,Pbk
95,Tox,Chchd2,Naca,Eef1e1,Trim28,Otof,Hnrnpd,Kif20a
96,Atp5a1,Tubb2a,S100a6,Smyd2,Ptma,Rprm,Nap1l1,Nuf2
97,Psma2,Tube1,Samhd1,Aimp2,Hnrnpab,B3galnt1,Ung,Kif15
98,Dap,Hjurp,Fxyd5,Cnbp,Snrpg,Ccl1,Mrpl18,Shcbp1
99,Rps28,Lyst,Pyhin1,Rrp9,Ddx19a,Htr7,Dtl,Neil3
